timestamp,graphics_clock_mhz,memory_clock_mhz,power_w
2026/06/02 17:38:37.676,900.0,9251.0,110.55
2026/06/02 17:38:37.797,900.0,9251.0,110.55
2026/06/02 17:38:37.916,900.0,9251.0,146.84
2026/06/02 17:38:38.036,900.0,9251.0,146.84
2026/06/02 17:38:38.155,900.0,9251.0,146.84
2026/06/02 17:38:38.273,900.0,9251.0,146.84
2026/06/02 17:38:38.392,900.0,9251.0,180.15
2026/06/02 17:38:38.512,900.0,9251.0,180.15
2026/06/02 17:38:38.632,900.0,9251.0,180.15
2026/06/02 17:38:38.752,900.0,9251.0,180.15
2026/06/02 17:38:38.872,900.0,9251.0,180.58
2026/06/02 17:38:38.991,900.0,9251.0,180.58
2026/06/02 17:38:39.112,900.0,9251.0,180.58
2026/06/02 17:38:39.230,900.0,9251.0,180.58
2026/06/02 17:38:39.350,900.0,9251.0,180.58
2026/06/02 17:38:39.469,900.0,9251.0,180.76
2026/06/02 17:38:39.587,900.0,9251.0,180.76
2026/06/02 17:38:39.705,900.0,9251.0,180.76
2026/06/02 17:38:39.825,900.0,9251.0,180.76
2026/06/02 17:38:39.943,900.0,9251.0,181.16
2026/06/02 17:38:40.060,900.0,9251.0,181.16
2026/06/02 17:38:40.178,900.0,9251.0,181.16
2026/06/02 17:38:40.296,900.0,9251.0,181.16
2026/06/02 17:38:40.417,900.0,9251.0,181.09
2026/06/02 17:38:40.534,900.0,9251.0,181.09
2026/06/02 17:38:40.652,900.0,9251.0,181.09
2026/06/02 17:38:40.770,900.0,9251.0,181.09
2026/06/02 17:38:40.889,900.0,9251.0,181.07
2026/06/02 17:38:41.012,900.0,9251.0,181.07
2026/06/02 17:38:41.130,900.0,9251.0,181.07
2026/06/02 17:38:41.248,900.0,9251.0,181.07
2026/06/02 17:38:41.367,900.0,9251.0,181.09
2026/06/02 17:38:41.487,900.0,9251.0,181.09
2026/06/02 17:38:41.610,900.0,9251.0,181.09
2026/06/02 17:38:41.727,900.0,9251.0,181.09
2026/06/02 17:38:41.847,900.0,9251.0,181.09
2026/06/02 17:38:41.965,900.0,9251.0,180.99
2026/06/02 17:38:42.083,900.0,9251.0,180.99
2026/06/02 17:38:42.208,900.0,9251.0,180.99
2026/06/02 17:38:42.328,900.0,9251.0,180.99
2026/06/02 17:38:42.447,900.0,9251.0,181.0
2026/06/02 17:38:42.566,900.0,9251.0,181.0
2026/06/02 17:38:42.686,900.0,9251.0,181.0
2026/06/02 17:38:42.808,900.0,9251.0,181.0
2026/06/02 17:38:42.928,900.0,9251.0,181.1
2026/06/02 17:38:43.047,900.0,9251.0,181.1
2026/06/02 17:38:43.166,900.0,9251.0,181.1
