timestamp,graphics_clock_mhz,memory_clock_mhz,power_w
2026/06/03 21:27:09.700,1320.0,9251.0,135.05
2026/06/03 21:27:09.821,1320.0,9251.0,153.85
2026/06/03 21:27:09.944,1320.0,9251.0,163.42
2026/06/03 21:27:10.066,1320.0,9251.0,173.01
2026/06/03 21:27:10.186,1320.0,9251.0,182.78
2026/06/03 21:27:10.307,1320.0,9251.0,202.82
2026/06/03 21:27:10.431,1320.0,9251.0,208.74
2026/06/03 21:27:10.554,1320.0,9251.0,209.25
2026/06/03 21:27:10.678,1320.0,9251.0,209.32
2026/06/03 21:27:10.800,1320.0,9251.0,209.48
2026/06/03 21:27:10.922,1320.0,9251.0,209.76
2026/06/03 21:27:11.042,1320.0,9251.0,209.73
2026/06/03 21:27:11.163,1320.0,9251.0,209.91
2026/06/03 21:27:11.287,1320.0,9251.0,210.11
2026/06/03 21:27:11.410,1320.0,9251.0,210.25
2026/06/03 21:27:11.533,1320.0,9251.0,210.42
2026/06/03 21:27:11.654,1335.0,9251.0,210.46
2026/06/03 21:27:11.777,1335.0,9251.0,210.51
2026/06/03 21:27:11.900,1335.0,9251.0,210.58
2026/06/03 21:27:12.024,1335.0,9251.0,210.33
2026/06/03 21:27:12.147,1335.0,9251.0,210.34
2026/06/03 21:27:12.270,1335.0,9251.0,210.34
2026/06/03 21:27:12.393,1335.0,9251.0,210.3
2026/06/03 21:27:12.515,1335.0,9251.0,210.34
2026/06/03 21:27:12.638,1335.0,9251.0,210.35
2026/06/03 21:27:12.760,1335.0,9251.0,210.39
2026/06/03 21:27:12.881,1335.0,9251.0,210.36
2026/06/03 21:27:13.002,1335.0,9251.0,210.37
2026/06/03 21:27:13.123,1335.0,9251.0,210.6
2026/06/03 21:27:13.244,1335.0,9251.0,210.62
2026/06/03 21:27:13.366,1335.0,9251.0,210.64
2026/06/03 21:27:13.488,1335.0,9251.0,210.57
2026/06/03 21:27:13.610,1335.0,9251.0,210.57
2026/06/03 21:27:13.730,1335.0,9251.0,210.64
2026/06/03 21:27:13.853,1335.0,9251.0,210.63
2026/06/03 21:27:13.976,1335.0,9251.0,210.73
2026/06/03 21:27:14.098,1335.0,9251.0,210.72
2026/06/03 21:27:14.220,1335.0,9251.0,210.83
2026/06/03 21:27:14.343,1335.0,9251.0,210.9
2026/06/03 21:27:14.464,1335.0,9251.0,210.79
