frequency_mhz,eval_tokens,eval_time_s,min_power_w,max_power_w,avg_power_w,median_power_w,energy_j
855,1024,17.832085856,112.02,177.79,174.73233333333334,177.31,3112.478880705835
870,1024,17.541162187,103.92,178.77,175.48993243243243,177.985,3076.1475506770616
885,1024,17.305391767,115.57,180.19,177.04157534246576,179.8,3066.3763361287115
900,1024,17.056393481,110.55,181.64,178.8304895104895,180.99,3033.5143721497043
915,1024,16.840730874,116.69,181.91,179.38609929078015,181.61,3003.5076689565194
930,1024,16.629368569,101.63,183.08,180.01614285714285,182.69,2985.432189247608
945,1024,16.407419846,108.97,184.15,181.22601449275362,183.725,2964.101196129323
960,1024,16.211871538,98.92,185.75,182.00671532846715,185.01,2952.009151260854
975,1024,16.023254729,98.93,186.65,182.96762962962964,186.29,2932.734318728447
990,1024,15.837343196,101.42,187.89,184.4387969924812,187.46,2904.0485197794437
1005,1024,15.92763498,99.46,188.75,184.43074626865672,187.37,2932.727206573488
1020,1024,15.279247791,116.41,189.94,186.1822480620155,189.47,2838.9140600192536
1035,1024,15.115054422,112.04,190.81,187.312109375,190.33,2832.854142338037
1050,1024,14.966573353,112.19,191.49,187.35007936507935,191.11,2802.469725818635
1065,1024,14.817031922,98.18,192.34,188.9148,191.89,2792.3155346715457
1080,1024,14.806888939,119.87,193.74,189.60247999999999,193.23,2797.644350045919
1095,1024,15.651620474,113.09,194.04,186.9089393939394,190.02,2928.8792715263367
1110,1024,16.091846422,105.99,192.92,183.97411764705882,186.51,2964.2466069006905
1125,1024,14.445889054,118.06,196.15,191.53139344262294,195.58,2770.8535112237937
1140,1024,14.333126326,99.92,197.08,192.6398347107438,196.57,2761.9959011423593
1155,1024,14.214291174,100.26,197.89,193.50141666666667,197.4,2751.131911699772
1170,1024,14.093070782,126.12,199.36,194.60361344537816,198.62,2735.4613990700254
1185,1024,13.980216927,100.12,199.56,195.38618644067796,198.99,2717.2851272439957
1200,1024,13.873214299,113.79,200.63,195.81068376068376,200.32,2707.967508319617
1215,1024,13.772638764,114.02,201.17,196.96784482758622,200.72,2703.835226500034
1230,1024,13.686395295,109.42,201.68,198.03391304347826,201.46,2695.7967835104455
1245,1024,13.586087078,114.23,202.72,198.35686956521738,202.16,2696.6431325352196
1260,1024,13.511433064,124.94,203.27,198.9806140350877,202.91,2679.434187912941
1275,1024,13.439276306,100.51,203.44,198.349203539823,203.16,2661.4970992636677
1290,1024,13.36488039,123.18,204.32,199.5025663716814,203.89,2667.721655346155
1305,1024,13.29262818,106.83,205.72,200.5963392857143,205.29,2669.0332715177537
1320,1024,13.218448111,101.45,207.59,202.89495495495495,207.33,2665.9656992280484
1335,1024,13.16949051,106.1,208.58,203.91189189189188,207.93,2680.8536481344695
1350,1024,13.073615114,112.06,210.17,205.9841818181818,209.76,2684.22404123187
1365,1024,13.014637523,126.35,212.34,207.24936363636363,211.76,2694.849361805916
1380,1024,12.944661135,102.12,214.03,209.57825688073396,213.7,2706.800079568624
