frequency_mhz,eval_tokens,eval_time_s,min_power_w,max_power_w,avg_power_w,median_power_w,energy_j
855,1024,17.575926588,129.84,180.08,178.16179310344828,179.28,3125.652804774047
870,1024,17.31154129,125.06,180.68,178.76622377622377,180.21,3083.726099939346
885,1024,17.075720738,119.87,182.07,179.87212765957446,181.51,3071.1523401403424
900,1024,16.833576368,124.74,183.35,181.12007194244603,182.74,3043.5271626067165
915,1024,16.614351177,132.2,184.88,182.82795620437957,184.17,3031.4106318211566
930,1024,16.399475941,128.03,185.88,183.89466666666667,185.47,3004.899064205885
945,1024,16.198449865,130.42,187.02,184.9360902255639,186.63,2980.170210824012
960,1024,15.995776368,128.15,188.59,186.07863636363635,187.765,2969.20299453497
975,1024,15.809415782,130.93,189.68,187.344,189.025,2946.37106140852
990,1024,15.625758412,132.23,190.76,188.64302325581394,190.34,2947.146880118846
1005,1024,15.452482209,134.2,191.21,189.17425196850394,190.7,2908.7636827683455
1020,1024,15.283377264,123.24,192.35,189.89079365079365,191.92,2894.0396144890783
1035,1024,15.119204895,127.86,193.73,191.3764,193.21,2891.463067566156
1050,1024,14.967518734,136.97,194.6,192.36268292682928,194.03,2859.4255268394945
1065,1024,14.824002472,134.86,195.25,192.9517213114754,194.85500000000002,2844.880827600955
1080,1024,14.685343071,127.19,196.11,193.53504132231404,195.65,2842.2224329531186
1095,1024,14.528772087,127.9,197.02,194.48783333333333,196.6,2822.7947385597226
1110,1024,14.394450846,126.98,198.21,195.55991596638654,197.61,2813.662772216797
1125,1024,14.282799919,120.43,198.97,195.4621186440678,198.16,2795.7027847695354
1140,1024,14.16473634,123.71,199.98,196.8517094017094,199.54,2790.6858848679053
1155,1024,14.038372353,133.38,200.75,198.03163793103448,200.085,2778.2835735011104
1170,1024,13.924708951,132.47,201.67,198.80226086956523,201.04,2770.8660646188255
1185,1024,13.810462925,127.54,202.5,199.64947368421053,201.965,2745.8121091806875
1200,1024,13.713387694,130.97,203.29,200.23778761061948,202.65,2738.123635622263
1215,1024,13.614870914,127.35,203.8,201.03482142857143,203.48,2721.9825175666806
1230,1024,13.530825588,139.95,204.9,202.06792792792794,204.2,2716.584375631809
1245,1024,13.432365713,135.11,205.08,202.39718181818182,204.73,2698.2734738802906
1260,1024,13.359421074,126.85,205.85,202.78872727272727,205.36,2704.410453811885
1275,1024,13.290766216,133.84,206.04,203.01926605504588,205.59,2684.5142671465874
1290,1024,13.235652648,132.24,206.62,203.6956880733945,206.17,2696.6080504751203
1305,1024,13.153609377,140.51,208.77,205.7787962962963,208.14499999999998,2699.0390680134287
1320,1024,13.069001866,144.46,210.72,208.24280373831775,210.26,2701.3750992929936
1335,1024,13.019113507,135.05,210.92,208.13953271028038,210.57,2700.1318605864044
1350,1024,12.934571504,133.18,213.0,209.82811320754718,212.35500000000002,2699.437379058599
1365,1024,12.861941418,143.03,215.32,212.22150943396227,214.67000000000002,2723.7852611076837
1380,1024,12.798024364,134.58,217.3,213.84257142857143,216.93,2722.828904962538
1395,1024,12.747904506,127.07,219.33,215.15685714285715,218.66,2746.0293077707274
1410,1024,12.66882582,134.33,221.4,217.93894230769232,220.93,2752.0016349780562
1425,1024,12.594085846,153.73,223.7,220.9678640776699,223.11,2760.4977170717716
1440,1024,12.552775057,144.3,223.96,220.85106796116506,223.61,2755.0925554144383
1455,1024,12.478493318,146.43,226.63,223.17637254901962,225.99,2763.0976748788366
1470,1024,12.412820801,143.92,229.6,225.42539215686276,228.82999999999998,2788.8379382205007
1485,1024,12.348674734,130.77,230.92,226.5187254901961,230.35500000000002,2802.7123516678816
1500,1024,12.284164426,142.54,233.42,229.400198019802,232.63,2809.6873258733744
1515,1024,12.252666216,150.69,235.62,231.7346,234.715,2819.856565284729
1530,1024,12.204756729,145.17,237.98,234.1777,237.29000000000002,2841.754103469849
1545,1024,12.150859787,153.17,240.29,236.4187,239.61,2867.0855965030187
1560,1024,12.115522881,143.03,242.43,237.6177,241.68,2882.144450767042
1575,1024,12.070485306,150.42,244.87,240.45232323232324,244.1,2885.5520701360692
1590,1024,12.025294373,148.11,248.14,243.3352525252525,247.26,2924.0552292764173
1605,1024,12.003067845,147.74,250.55,245.56666666666666,249.77,2950.8315800154214
1620,1024,11.952892977,146.16,256.46,250.77214285714285,254.75,2979.116031593084
1635,1024,11.910084723,160.1,260.05,254.54755102040815,258.645,3022.0754654335988
1650,1024,11.889272808,155.26,263.64,257.8068367346939,262.42499999999995,3068.0955135428894
1665,1024,11.848169026,161.67,267.82,263.09556701030925,266.89,3097.296990154982
1680,1024,11.828185309,169.2,271.23,266.3517525773196,270.25,3127.6799685812
1695,1024,11.782594841,170.46,276.26,271.4116494845361,275.73,3191.086508896351
1710,1024,11.752953339,156.16,281.5,275.61721649484537,280.34,3245.1492593967914
1725,1024,11.729207581,167.03,284.86,279.2228125,283.91,3249.4544482433807
1740,1024,11.700885632,168.3,289.07,283.17875,288.03499999999997,3306.6767608749865
1755,1024,11.66930885,180.02,295.01,289.365625,294.13,3367.8210602378836
1770,1024,11.645302608,165.47,300.23,293.5386458333333,299.395,3421.342783796788
1785,1024,11.61155718,155.23,306.13,298.71979166666665,305.02,3473.2731141793734
1800,1024,11.580460766,176.19,313.76,306.27536842105263,310.54,3521.3505598831175
1815,1024,11.565813341,187.22,316.97,310.6641052631579,315.88,3579.042799969912
1830,1024,11.546403497,194.37,324.08,317.53147368421054,322.58,3655.5648387062547
1845,1024,11.5133569,169.33,332.54,324.18505263157897,331.44,3730.3928744614122
1860,1024,11.491675088,163.38,339.28,331.05715789473686,338.33,3810.3976912128933
1875,1024,11.492215347,189.04,339.15,332.7435789473684,338.37,3830.7402275204654
1890,1024,11.491006473,204.18,339.38,333.4564210526316,338.56,3836.166012881994
